,,VAR LIST GENERATOR,,,,,,,,IP,169.254.255.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Name,Description,ServerName,TopicName,Address,Coef,Offset,LogEnabled,AlEnabled,AlBool,MemTag,MbsTcpEnabled,MbsTcpFloat,SnmpEnabled,RTLogEnabled,AlAutoAck,ForceRO,SnmpOID,AutoType,AlHint,AlHigh,AlLow,AlTimeDB,AlLevelDB,IVGroupA,IVGroupB,IVGroupC,IVGroupD,PageId,RTLogWindow,RTLogTimer,LogDB,LogTimer,AlLoLo,AlHiHi,MbsTcpRegister,MbsTcpCoef,MbsTcpOffset,EEN,ETO,ECC,ESU,EAT,ESH,SEN,STO,SSU,TEN,TSU,FEN,FFN,FCO,KPI,Type,AlStat,ChangeTime,TagValue,TagQuality,AlType,,
1,"""BMS_Rack_6_Module_Num_of_Min_Cell_Temp_A""","""Module Number of Min Cell Temp A""","""MODBUS""","""A""","""43334""",1,0,0,0,1,0,0,0,0,0,1,0,1,0,"""""",0,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,,"""""","""""","""""","""""",,,"""""","""""",,"""""",,"""""","""""",0,0,2,"""""",0,"""01/01/1970 01:00:00""",0,24,0
2,"""BMS_Rack_6_Cell_Num_of_Min_Cell_Temp_A""","""Cell Number of Min Cell Temp A""","""MODBUS""","""A""","""43335""",1,0,0,0,1,0,0,0,0,0,1,0,1,0,"""""",0,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,,"""""","""""","""""","""""",,,"""""","""""",,"""""",,"""""","""""",0,0,2,"""""",0,"""01/01/1970 01:00:00""",0,24,0
3,"""BMS_Rack_6_Module_Num_of_Min_Cell_Temp_B""","""Module Number of Min Cell Temp B""","""MODBUS""","""A""","""43337""",1,0,0,0,1,0,0,0,0,0,1,0,1,0,"""""",0,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,,"""""","""""","""""","""""",,,"""""","""""",,"""""",,"""""","""""",0,0,2,"""""",0,"""01/01/1970 01:00:00""",0,24,0
4,"""BMS_Rack_6_Cell_Num_of_Min_Cell_Temp_B""","""Cell Number of Min Cell Temp B""","""MODBUS""","""A""","""43338""",1,0,0,0,1,0,0,0,0,0,1,0,1,0,"""""",0,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,,"""""","""""","""""","""""",,,"""""","""""",,"""""",,"""""","""""",0,0,2,"""""",0,"""01/01/1970 01:00:00""",0,24,0
5,"""BMS_Rack_7_Current""","""BMS Rack 7 Current""","""MODBUS""","""A""","""43351I""",0.1,0,1,0,1,0,0,0,0,0,1,0,1,0,"""""",0,0,0,0,0,0,0,1,1,600,10,-1,60,,,1,1,0,,"""""","""""","""""","""""",,,"""""","""""",,"""""",,"""""","""""",0,0,1,"""""",0,"""01/01/1970 01:00:00""",0,24,0
6,"""BMS_Rack_7_SoH""","""BMS Rack 7 SoH""","""MODBUS""","""A""","""43354""",0.1,0,1,0,1,0,0,0,0,0,1,0,1,0,"""""",0,0,0,0,0,0,0,1,1,600,10,0.1,60,,,1,1,0,,"""""","""""","""""","""""",,,"""""","""""",,"""""",,"""""","""""",0,0,1,"""""",0,"""01/01/1970 01:00:00""",0,24,0
7,"""BMS_Rack_7_Fault_1""","""BMS Additional_Protection""","""MODBUS""","""A""","""43355#0""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Additional_Protection Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
8,"""BMS_Rack_7_Fault_2""","""DCSW1 Sensing Fail""","""MODBUS""","""A""","""43356#8""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 DCSW1 Sensing Fail Alarm??""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
9,"""BMS_Rack_7_Fault_3""","""DCSW2 Sensing Fail""","""MODBUS""","""A""","""43356#9""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 DCSW2 Sensing Fail Alarm???""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
10,"""BMS_Rack_7_Fault_4""","""DCSW3 Sensing Fail_Fault""","""MODBUS""","""A""","""43356#10""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 DCSW3 Sensing Fail_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
11,"""BMS_Rack_7_Fault_5""","""DCSW3 Fail_Fault""","""MODBUS""","""A""","""43356#11""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 DCSW3 Fail_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
12,"""BMS_Rack_7_Fault_6""","""Module PCB Under Temperature_Fault""","""MODBUS""","""A""","""43356#12""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Module PCB Under Temperature_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
13,"""BMS_Rack_7_Fault_7""","""Module PCB Over-Temperature_Fault""","""MODBUS""","""A""","""43356#13""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Module PCB Over-Temperature_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
14,"""BMS_Rack_7_Fault_8""","""Charge Current Limit_Fault""","""MODBUS""","""A""","""43356#14""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_6 Charge Current Limit_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
15,"""BMS_Rack_7_Fault_9""","""Discharrge Current Limit_Fault""","""MODBUS""","""A""","""43356#15""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Charge Current Limit_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
16,"""BMS_Rack_7_Fault_10""","""Rack Fuse Fail_Fault""","""MODBUS""","""A""","""43357#0""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Discharrge Current Limit_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
17,"""BMS_Rack_7_Fault_11""","""Permanent Under-Voltage_Fault""","""MODBUS""","""A""","""43357#1""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Rack Fuse Fail_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
18,"""BMS_Rack_7_Fault_12""","""Module Under-Temperature_Fault""","""MODBUS""","""A""","""43358#0""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Permanent Under-Voltage_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
19,"""BMS_Rack_7_Fault_13""","""Module Over-Temperature_Fault""","""MODBUS""","""A""","""43358#1""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Module Under-Temperature_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
20,"""BMS_Rack_7_Fault_14""","""Module Under Voltage_Fault""","""MODBUS""","""A""","""43358#2""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Module Over-Temperature_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
21,"""BMS_Rack_7_Fault_15""","""Module Over Voltage_Fault""","""MODBUS""","""A""","""43358#3""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Module Under Voltage_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
22,"""BMS_Rack_7_Fault_16""","""Module Voltage Imbalance Fault""","""MODBUS""","""A""","""43358#4""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Module Over Voltage_Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
23,"""BMS_Rack_7_Fault_17""","""Module Temperature Imbalance Fault""","""MODBUS""","""A""","""43358#5""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Module Voltage Imbalance Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
24,"""BMS_Rack_7_Fault_18""","""Rack Module Comms Fail Fault""","""MODBUS""","""A""","""43358#6""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Module Temperature Imbalance Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
25,"""BMS_Rack_7_Fault_19""","""Rack System Comms Fail Fault""","""MODBUS""","""A""","""43358#7""",1,0,0,1,1,0,0,0,0,0,1,0,1,0,"""""",1,0,0,0,0,0,0,0,1,600,10,-1,0,,,1,1,0,8,"""""","""""","""BMS_Rack_7 Rack Module Comms Fail Alarm?""","""""",0,0,"""""","""""",0,"""""",0,"""""","""""",0,0,0,"""""",0,"""01/01/1970 01:00:00""",0,24,0
